"airbnb_listing_id","latitude","longitude","suburb","country","state","city","aquisition_date"
"721000003000337530","-27.13382","-48.62049","Morretes","Brasil","Santa Catarina","Itapema","2024-10-07 19:08:06.014"
"1172396251848641184","-27.127360071681267","-48.60535729676485","Meia Praia","Brasil","Santa Catarina","Itapema","2024-12-19 17:34:55.376"
"1129240866521731428","-27.13400077819824","-48.59600067138672","Meia Praia","Brasil","Santa Catarina","Itapema","2024-04-22 19:01:16.411"
"53252171","-27.12878","-48.61488","Morretes","Brasil","Santa Catarina","Itapema","2024-10-07 19:28:26.575"
"31069793","-27.0846691132","-48.6313705444","Alto Sao Bento","Brasil","Santa Catarina","Itapema","2023-06-26 19:13:35.000"
"8325723","-27.1291","-48.59985","Meia Praia","Brasil","Santa Catarina","Itapema","2021-10-25 14:40:16.352"
"52426754","-27.12289","-48.60754","Meia Praia","Brasil","Santa Catarina","Itapema","2021-10-25 14:40:16.352"
"40749720","-27.1270503998","-48.6163291931","Morretes","Brasil","Santa Catarina","Itapema","2023-06-26 19:05:40.000"
"1010140406140977818","-27.12299919128418","-48.60599899291992","Meia Praia","Brasil","Santa Catarina","Itapema","2023-11-06 19:01:00.771"
"1007429386154806342","-27.106000900268555","-48.61600112915039","Tabuleiro dos Oliveiras","Brasil","Santa Catarina","Itapema","2023-11-06 19:02:12.101"
"1277574920330532540","-27.136703786860732","-48.591835468882095","Meia Praia","Brasil","Santa Catarina","Itapema","2024-11-04 19:03:44.707"
"1275427906090524686","-27.13708935165096","-48.59471362195129","Meia Praia","Brasil","Santa Catarina","Itapema","2024-11-04 19:04:20.706"
"1272762188354823017","-27.13637","-48.60282","Meia Praia","Brasil","Santa Catarina","Itapema","2024-11-04 19:04:20.706"
"1268755217310742256","-27.12991","-48.59961","Meia Praia","Brasil","Santa Catarina","Itapema","2024-11-04 19:04:27.496"
"1273109864545308382","-27.129724324118516","-48.60238836673688","Meia Praia","Brasil","Santa Catarina","Itapema","2024-11-04 19:04:27.496"
"1278507948518475714","-27.1356166","-48.5997737","Meia Praia","Brasil","Santa Catarina","Itapema","2024-11-04 19:05:52.393"
"1271949799457355450","-27.106","-48.6139","Centro","Brasil","Santa Catarina","Itapema","2024-11-04 19:05:52.915"
"1111626053814730010","-27.097999572753903","-48.6150016784668","Centro","Brasil","Santa Catarina","Itapema","2024-03-18 19:02:52.483"
"1039827290604057739","-27.07999992370605","-48.61299896240234","Sertaozinho","Brasil","Santa Catarina","Itapema","2023-12-18 19:00:48.231"
"1039739725491516693","-27.13999938964844","-48.59299850463867","Meia Praia","Brasil","Santa Catarina","Itapema","2023-12-18 19:00:39.608"
"1041944788019193143","-27.14200019836425","-48.5890007019043","Meia Praia","Brasil","Santa Catarina","Itapema","2023-12-18 19:00:56.545"
"1041429073806880783","-27.1407","-48.59052","Meia Praia","Brasil","Santa Catarina","Itapema","2024-10-07 19:42:01.852"
"1042032092670718662","-27.12800025939941","-48.60499954223633","Meia Praia","Brasil","Santa Catarina","Itapema","2023-12-18 19:00:44.813"
"42362968","-27.09032","-48.6114","Centro","Brasil","Santa Catarina","Itapema","2024-10-07 20:14:56.052"
"1153493820067017135","-27.099824140162","-48.616195412234","Centro","Brasil","Santa Catarina","Itapema","2024-08-19 19:17:21.982"
"45928238","-27.116559982299805","-48.612281799316406","Morretes","Brasil","Santa Catarina","Itapema","2023-02-09 15:17:56.000"
"1039154693965614296","-27.131000518798828","-48.60100173950195","Meia Praia","Brasil","Santa Catarina","Itapema","2023-12-18 19:01:53.545"
"1043521584839255151","-27.1406","-48.59738","Meia Praia","Brasil","Santa Catarina","Itapema","2024-10-07 19:42:36.521"
"1041586121627389560","-27.14024543762207","-48.59269714355469","Meia Praia","Brasil","Santa Catarina","Itapema","2023-12-18 19:02:15.978"
"48182966","-27.0939998626709","-48.61299896240234","Centro","Brasil","Santa Catarina","Itapema","2023-12-04 19:01:19.132"
"1033216780889607180","-27.12700080871582","-48.60300064086914","Meia Praia","Brasil","Santa Catarina","Itapema","2023-12-04 19:01:31.742"
"1030401532874842059","-27.12003","-48.60607","Meia Praia","Brasil","Santa Catarina","Itapema","2024-10-07 19:42:44.168"
"1033550764453018366","-27.0946044921875","-48.62516784667969","Casa Branca","Brasil","Santa Catarina","Itapema","2023-12-04 19:02:17.077"
"1028988415727336651","-27.12647","-48.60596","Meia Praia","Brasil","Santa Catarina","Itapema","2024-10-07 19:47:54.710"
"1019030592109059625","-27.13500022888184","-48.59799957275391","Meia Praia","Brasil","Santa Catarina","Itapema","2023-12-04 19:02:17.389"
"1031245572964869323","-27.100000381469727","-48.61600112915039","Centro","Brasil","Santa Catarina","Itapema","2023-12-04 19:02:19.120"
"757094479685829275","-27.05973","-48.60235","Ilhota","Brasil","Santa Catarina","Itapema","2024-10-07 19:28:20.453"
"757145296838322326","-27.0950202942","-48.6199913025","Varzea","Brasil","Santa Catarina","Itapema","2023-06-26 19:12:30.000"
"1219584389251803391","-27.121286","-48.608453","Meia Praia","Brasil","Santa Catarina","Itapema","2024-08-19 19:19:18.840"
"1208961418958310878","-27.10182","-48.61413","Centro","Brasil","Santa Catarina","Itapema","2024-10-07 19:58:06.106"
"1221116256456025134","-27.12805","-48.60712","Meia Praia","Brasil","Santa Catarina","Itapema","2024-10-07 19:42:21.374"
"1181723518413479765","-27.0929134","-48.6132024","Centro","Brasil","Santa Catarina","Itapema","2024-08-19 19:19:05.478"
"32640607","-27.08815","-48.61466","Casa Branca","Brasil","Santa Catarina","Itapema","2021-10-25 14:40:16.352"
"32970957","-27.08769","-48.61527","Casa Branca","Brasil","Santa Catarina","Itapema","2024-10-07 19:31:55.235"
"15500038","-27.14104","-48.59176","Meia Praia","Brasil","Santa Catarina","Itapema","2021-10-25 14:40:16.352"
"29114516","-27.13934","-48.59179","Meia Praia","Brasil","Santa Catarina","Itapema","2024-10-07 19:17:34.320"
"46407747","-27.14123","-48.5912","Meia Praia","Brasil","Santa Catarina","Itapema","2021-10-25 14:40:16.352"
"30697520","-27.13159","-48.60013","Meia Praia","Brasil","Santa Catarina","Itapema","2024-10-07 19:42:04.184"
"38352359","-27.12851","-48.60123","Meia Praia","Brasil","Santa Catarina","Itapema","2024-10-07 19:42:01.852"
"917248246206573715","-27.12455940246582","-48.60761260986328","Meia Praia","Brasil","Santa Catarina","Itapema","2024-04-08 19:02:04.943"
"45843768","-27.141000747680664","-48.59299850463867","Meia Praia","Brasil","Santa Catarina","Itapema","2024-04-08 19:02:04.039"
"21025393","-27.11835","-48.60785","Meia Praia","Brasil","Santa Catarina","Itapema","2024-10-07 19:07:44.291"
"31116044","-27.11572","-48.613550000000004","Morretes","Brasil","Santa Catarina","Itapema","2021-10-25 14:40:16.352"
"46936020","-27.11841","-48.60977","Morretes","Brasil","Santa Catarina","Itapema","2024-10-07 19:07:44.291"
"26895628","-27.13273","-48.59691","Meia Praia","Brasil","Santa Catarina","Itapema","2021-10-25 14:40:16.352"
"28075525","-27.13625","-48.59592","Meia Praia","Brasil","Santa Catarina","Itapema","2024-10-07 19:41:52.968"
